File,/home/projet21/Bureau/openBr python/pictures/messi/140721120124-lionel-messi-0721-horizontal-large-gallery.jpg,/home/projet21/Bureau/openBr python/pictures/messi/lionel-messi1.jpg,/home/projet21/Bureau/openBr python/pictures/messi/lionel-messi2.jpeg,/home/projet21/Bureau/openBr python/pictures/messi/messi1.jpg,/home/projet21/Bureau/openBr python/pictures/messi/messi2.jpg,/home/projet21/Bureau/openBr python/pictures/messi/youngMessi.jpg,/home/projet21/Bureau/openBr python/pictures/neymar/6cfaa75692d6270ba6ae0e457ee75.jpeg,/home/projet21/Bureau/openBr python/pictures/neymar/17-53687831-1.jpg,/home/projet21/Bureau/openBr python/pictures/neymar/473892B200000578-0-image-a-1_1513165531839.jpg,/home/projet21/Bureau/openBr python/pictures/neymar/Neymar-703627.jpg,/home/projet21/Bureau/openBr python/pictures/neymar/Neymar-Barcelona.jpg,/home/projet21/Bureau/openBr python/pictures/neymar/ney.jpg,/home/projet21/Bureau/openBr python/pictures/neymar/neymar-just-asked-to-leave-fc-barcelona.jpg.png,/home/projet21/Bureau/openBr python/pictures/ronaldo/960.jpg,/home/projet21/Bureau/openBr python/pictures/ronaldo/1518297545_776514_1518341631_noticia_normal.jpg,/home/projet21/Bureau/openBr python/pictures/ronaldo/CC2017_(11)_(cropped).jpg,/home/projet21/Bureau/openBr python/pictures/ronaldo/peinados-cristiano-ronaldo-2016-corte-con-raya-y-lado-rapado.jpg,/home/projet21/Bureau/openBr python/pictures/ronaldo/ronaldo1.jpg
/home/projet21/Bureau/openBr python/test/406f1-Nejmar-v-sbornoy-Brazilii.jpeg,0.688667,0.374586,0.562852,0.15668,-0.308576,0.203889,0.87541,0.472079,0.648673,0.452447,0.883752,0.834145,0.631485,0.0151466,0.454139,0.29686,0.0840565,0.432485
/home/projet21/Bureau/openBr python/test/Cristiano.jpg,0.478256,0.273647,0.67106,0.428336,0.207667,-0.0655899,1.18955,0.0986706,1.11103,0.477343,0.31184,0.542012,0.241073,0.624614,0.927837,2.82184,1.65341,3.31104
/home/projet21/Bureau/openBr python/test/messi1.jpg,0.396152,0.353814,0.29246,23.9268,0.464759,-0.325285,1.35578,0.412025,0.452441,0.112294,-0.028485,0.796584,-0.0295194,0.654758,0.037673,-0.119586,-0.0176087,0.476421
/home/projet21/Bureau/openBr python/test/messi2.jpg,0.548251,0.584741,0.198803,0.785015,-0.254146,0.305261,-0.2495,0.116302,0.0169903,0.0498557,0.669971,-0.0560717,0.705978,0.311516,0.784479,0.6744,-0.0424661,0.61831
/home/projet21/Bureau/openBr python/test/messi3.jpg,0.548251,0.584741,0.198803,0.785015,-0.254146,0.305261,-0.2495,0.116302,0.0169903,0.0498557,0.669971,-0.0560717,0.705978,0.311516,0.784479,0.6744,-0.0424661,0.61831
/home/projet21/Bureau/openBr python/test/messi.jpg,0.179741,0.10101,-0.0978207,-0.0447599,0.524925,0.535142,0.183234,-0.0815054,-0.00892899,0.998349,-0.294688,-0.174261,0.0485769,-0.186334,-0.217245,-0.356263,-0.190911,0.215932
/home/projet21/Bureau/openBr python/test/ney2.jpg,0.256618,-0.150041,-0.077635,0.112294,0.043439,0.826489,0.857677,0.141491,0.681397,23.9268,0.229528,0.359161,0.180247,-0.204791,0.300263,0.328179,-0.254431,0.858958
/home/projet21/Bureau/openBr python/test/ney.jpg,0.253999,0.142908,0.00480767,0.744091,0.201607,-0.390033,1.38543,0.54756,0.196485,-0.433451,1.12338,0.999649,1.00565,0.387199,-0.097518,0.606176,0.0196176,0.637813
/home/projet21/Bureau/openBr python/test/ronaldo4.jpeg,-0.192606,0.0747585,-0.134552,0.547034,0.388688,0.158396,0.0602691,0.189518,0.351308,0.274751,-0.0221315,0.751487,0.0280901,0.683136,0.423114,0.680886,0.137499,1.11441
/home/projet21/Bureau/openBr python/test/ronaldo-transfer.jpg,0.0544529,0.612321,0.123891,0.20609,0.517249,-0.287754,0.294526,-0.376505,0.339252,-0.0303337,0.0324655,0.792793,0.196116,0.0227968,0.333758,0.380169,-0.0289253,0.841993
/home/projet21/Bureau/openBr python/test/ronalod_1.jpeg,-0.0158815,0.46846,1.06993,0.537088,-0.330384,-0.206565,0.954807,0.375342,0.907805,0.345136,0.527013,0.325411,0.66714,0.00585176,1.82178,1.47572,0.919698,1.77742
/home/projet21/Bureau/openBr python/test/samuel-etoo.jpg,0.55477,0.464617,0.699495,-0.0644341,0.21259,-0.00544222,0.133771,-0.029916,0.0243071,-0.548183,0.447384,0.354795,0.509315,0.823894,0.405118,1.41192,0.721775,0.403313
/home/projet21/Bureau/openBr python/test/sp23-neymar.JPG,0.0186496,-0.330986,0.357139,-0.206905,-0.450612,0.231639,0.249612,0.81997,0.559817,2.09735,0.852992,0.436635,0.668305,-0.451864,-0.169165,-0.113764,-0.39905,-0.0343158
